family_key,product_count,multi_image_products,average_images
accessories,163,23,1.5
consumables,543,310,2.84
electrical,1256,837,3.24
garden,222,35,1.48
hand-tools,425,145,2.05
painting,117,0,1.0
plumbing,327,47,1.69
power-tools,288,8,1.11
safety,249,62,1.75
workshop-storage,294,84,1.98
